t,Antenna ID,Event Code,Device ID,x,y, Tile ID
7,58,1,284,601056.522961,650771.103744,607
7,23,2,245,599987.832676,651933.067514,921
7,125,1,241,600408.470275,652231.456416,1006
7,23,2,246,599987.832676,651933.067514,921
7,177,2,230,600971.571311,652281.334357,1011
7,194,2,289,600384.426337,650135.919067,439
7,110,2,253,600091.015093,649791.594036,328
7,80,0,270,600129.089020,651257.239740,733
7,54,2,257,600141.005250,652560.792839,1084
8,179,2,242,600408.470275,652231.456416,1006
8,71,2,280,600255.040228,649027.918590,140
8,23,2,245,599987.832676,651933.067514,921
8,179,2,241,600408.470275,652231.456416,1006
8,23,2,246,599987.832676,651933.067514,921
8,117,1,297,600361.369070,653379.649436,1302
8,194,2,289,600384.426337,650135.919067,439
8,137,0,296,600361.369070,653379.649436,1302
8,105,0,283,600929.818494,650939.285706,660
8,105,0,284,600929.818494,650939.285706,660
8,148,0,230,600273.755739,652995.737070,1193
8,87,1,299,599830.792487,649473.402050,244
8,23,2,259,600078.941324,651854.245087,895
8,147,1,291,600135.900138,651388.912008,760
8,80,2,270,600129.089020,651257.239740,733
8,9,2,276,601026.924381,649883.108971,364
8,147,1,292,600135.900138,651388.912008,760
8,200,0,292,600135.900138,651388.912008,760
8,131,2,234,601514.911596,650068.348954,423
8,117,1,296,600361.369070,653379.649436,1302
8,137,0,297,600361.369070,653379.649436,1302
8,177,1,230,600273.755739,652995.737070,1193
8,144,0,257,600102.536634,652381.632529,1030
8,72,0,299,599830.792487,649473.402050,244
8,110,2,253,600091.015093,649791.594036,328
8,54,1,257,600102.536634,652381.632529,1030
8,13,1,284,600929.818494,650939.285706,660
8,201,2,268,600410.273702,650778.988449,601
8,200,0,291,600135.900138,651388.912008,760
8,13,1,283,600929.818494,650939.285706,660
8,110,2,273,600195.744990,649919.004013,383
9,131,2,234,601514.911596,650068.348954,423
9,105,1,284,600785.223056,651092.358740,686
9,54,0,257,600146.523181,652559.518545,1084
9,179,2,242,600408.470275,652231.456416,1006
9,201,2,268,600410.273702,650778.988449,601
9,187,0,270,600272.334061,650286.923853,464
9,200,2,292,600315.863493,651344.479457,762
9,144,1,257,600146.523181,652559.518545,1084
9,194,2,289,600384.426337,650135.919067,439
9,105,1,283,600785.223056,651092.358740,686
9,71,2,280,600255.040228,649027.918590,140
9,9,2,276,601026.924381,649883.108971,364
9,137,2,296,600361.369070,653379.649436,1302
9,110,2,273,600195.744990,649919.004013,383
9,92,0,283,600785.223056,651092.358740,686
9,110,2,253,600091.015093,649791.594036,328
9,200,2,291,600315.863493,651344.479457,762
9,23,2,259,600078.941324,651854.245087,895
9,92,0,284,600785.223056,651092.358740,686
9,23,2,245,599987.832676,651933.067514,921
9,80,1,270,600272.334061,650286.923853,464
9,179,2,241,600408.470275,652231.456416,1006
9,137,2,297,600361.369070,653379.649436,1302
9,148,2,230,600273.755739,652995.737070,1193
9,23,2,246,599987.832676,651933.067514,921
9,72,2,299,599743.256137,649599.547327,270
10,130,0,257,600281.161412,652435.217307,1059
10,131,2,234,601514.911596,650068.348954,423
10,92,1,283,600639.327129,651244.192770,738
10,179,2,242,600408.470275,652231.456416,1006
10,201,2,268,600410.273702,650778.988449,601
10,110,2,273,600195.744990,649919.004013,383
10,23,2,246,599987.832676,651933.067514,921
10,179,2,241,600408.470275,652231.456416,1006
10,72,2,299,599743.256137,649599.547327,270
10,22,0,292,600328.443771,651159.539474,708
10,54,1,257,600281.161412,652435.217307,1059
10,194,2,289,600384.426337,650135.919067,439
10,200,1,292,600328.443771,651159.539474,708
10,22,0,291,600328.443771,651159.539474,708
10,137,2,297,600361.369070,653379.649436,1302
10,197,0,284,600639.327129,651244.192770,738
10,23,2,259,600078.941324,651854.245087,895
10,137,2,296,600361.369070,653379.649436,1302
10,99,0,270,600228.593521,649307.067319,221
10,92,1,284,600639.327129,651244.192770,738
10,23,2,245,599987.832676,651933.067514,921
10,9,2,276,601026.924381,649883.108971,364
10,71,2,280,600255.040228,649027.918590,140
10,17,0,230,600786.767062,652138.919009,983
10,197,0,283,600639.327129,651244.192770,738
10,200,1,291,600328.443771,651159.539474,708
10,187,1,270,600228.593521,649307.067319,221
10,148,1,230,600786.767062,652138.919009,983
10,110,2,253,600091.015093,649791.594036,328
11,17,1,230,600284.643085,653002.162496,1221
11,23,2,259,600078.941324,651854.245087,895
11,137,2,297,600361.369070,653379.649436,1302
11,194,2,289,600384.426337,650135.919067,439
11,130,1,257,600206.120396,652268.043455,1004
11,71,2,280,600255.040228,649027.918590,140
11,131,2,234,601514.911596,650068.348954,423
11,179,1,241,600329.104150,651208.479851,735
11,110,2,273,600195.744990,649919.004013,383
11,137,2,296,600361.369070,653379.649436,1302
11,23,2,245,599987.832676,651933.067514,921
11,201,2,268,600410.273702,650778.988449,601
11,179,1,242,600329.104150,651208.479851,735
11,22,0,242,600329.104150,651208.479851,735
11,22,1,292,600484.577948,651059.623610,683
11,148,0,230,600284.643085,653002.162496,1221
11,79,0,283,600498.343063,651400.598293,764
11,22,0,241,600329.104150,651208.479851,735
11,110,2,253,600091.015093,649791.594036,328
11,79,0,284,600498.343063,651400.598293,764
11,104,0,292,600484.577948,651059.623610,683
11,197,1,283,600498.343063,651400.598293,764
11,72,2,299,599743.256137,649599.547327,270
11,104,0,291,600484.577948,651059.623610,683
11,11,0,257,600206.120396,652268.043455,1004
11,197,1,284,600498.343063,651400.598293,764
11,99,2,270,600228.593521,649307.067319,221
11,9,2,276,601026.924381,649883.108971,364
11,23,2,246,599987.832676,651933.067514,921
11,22,1,291,600484.577948,651059.623610,683
12,110,2,253,600091.015093,649791.594036,328
12,23,2,259,600078.941324,651854.245087,895
12,148,2,230,600284.643085,653002.162496,1221
12,104,1,291,600520.218761,650877.714860,629
12,137,2,296,600361.369070,653379.649436,1302
12,158,0,242,601144.618700,650585.811357,554
12,110,2,273,600195.744990,649919.004013,383
12,179,0,257,600378.321080,652205.392234,1006
12,23,2,246,599987.832676,651933.067514,921
12,104,1,292,600520.218761,650877.714860,629
12,22,1,241,601144.618700,650585.811357,554
12,71,2,280,600255.040228,649027.918590,140
12,131,2,234,601514.911596,650068.348954,423
12,201,2,268,600410.273702,650778.988449,601
12,11,1,257,600378.321080,652205.392234,1006
12,22,1,242,601144.618700,650585.811357,554
12,79,2,284,600370.890468,651568.214015,816
12,79,2,283,600370.890468,651568.214015,816
12,9,2,276,601026.924381,649883.108971,364
12,158,0,241,601144.618700,650585.811357,554
12,23,2,245,599987.832676,651933.067514,921
12,201,0,291,600520.218761,650877.714860,629
12,137,2,297,600361.369070,653379.649436,1302
