Antenna_Id,x,y,geometry
221,599987.571627,648990.6573229999,POINT (599987.571627 648990.6573229999)
158,601133.2362340001,650304.814745,POINT (601133.2362340001 650304.814745)
79,600582.69428,651483.7545729999,POINT (600582.6942800001 651483.7545729999)
32,601152.905796,651375.737733,POINT (601152.905796 651375.737733)
219,600554.549634,648743.252808,POINT (600554.5496340001 648743.252808)
35,600387.8065739999,653037.778462,POINT (600387.8065739999 653037.778462)
45,599987.571627,648990.6573229999,POINT (599987.571627 648990.6573229999)
99,601269.507738,649271.0936189999,POINT (601269.507738 649271.0936189999)
126,601133.2362340001,650304.814745,POINT (601133.2362340001 650304.814745)
45,600078.6436300001,648822.477079,POINT (600078.6436300001 648822.477079)
33,600554.549634,648743.252808,POINT (600554.5496340001 648743.252808)
136,601269.507738,649271.0936189999,POINT (601269.507738 649271.0936189999)
71,600078.6436300001,648822.477079,POINT (600078.6436300001 648822.477079)
125,601152.905796,651375.737733,POINT (601152.905796 651375.737733)
148,600440.7946,652871.456006,POINT (600440.7946 652871.4560060001)
79,600793.228624,651487.56042,POINT (600793.228624 651487.56042)
106,601313.513827,650261.67485,POINT (601313.513827 650261.67485)
109,600053.218578,650014.605814,POINT (600053.218578 650014.605814)
35,600440.7946,652871.456006,POINT (600440.7946 652871.4560060001)
45,600053.218578,650014.605814,POINT (600053.218578 650014.605814)
33,600618.130692,648927.299183,POINT (600618.130692 648927.299183)
126,601313.513827,650261.67485,POINT (601313.513827 650261.67485)
197,600793.228624,651487.56042,POINT (600793.228624 651487.56042)
125,601294.624885,651491.901199,POINT (601294.6248850001 651491.901199)
18,601294.624885,651491.901199,POINT (601294.6248850001 651491.901199)
109,600751.983053,649263.268178,POINT (600751.9830529999 649263.268178)
197,600952.609538,651349.948944,POINT (600952.609538 651349.9489439999)
7,600751.983053,649263.268178,POINT (600751.9830529999 649263.268178)
142,600558.850163,652742.872282,POINT (600558.8501630001 652742.872282)
18,601467.363592,651430.7490109999,POINT (601467.363592 651430.7490109999)
32,600952.609538,651349.948944,POINT (600952.609538 651349.9489439999)
181,601467.363592,651430.7490109999,POINT (601467.363592 651430.7490109999)
106,601406.029738,650101.045254,POINT (601406.029738 650101.045254)
148,600558.850163,652742.872282,POINT (600558.8501630001 652742.872282)
7,600686.88189,649109.477371,POINT (600686.88189 649109.477371)
33,600686.88189,649109.477371,POINT (600686.88189 649109.477371)
136,600629.498658,650014.343535,POINT (600629.498658 650014.343535)
91,600629.498658,650014.343535,POINT (600629.498658 650014.343535)
55,601555.485445,651270.085418,POINT (601555.485445 651270.085418)
90,600995.056948,651143.702946,POINT (600995.056948 651143.702946)
142,600647.080805,652592.252749,POINT (600647.080805 652592.252749)
32,600995.056948,651143.702946,POINT (600995.056948 651143.702946)
106,601542.460446,649975.555323,POINT (601542.460446 649975.5553229999)
188,600642.241822,649299.010702,POINT (600642.241822 649299.010702)
181,601555.485445,651270.085418,POINT (601555.485445 651270.085418)
91,599969.599013,650739.991191,POINT (599969.599013 650739.991191)
131,601542.460446,649975.555323,POINT (601542.460446 649975.5553229999)
77,599969.599013,650739.991191,POINT (599969.599013 650739.991191)
7,600642.241822,649299.010702,POINT (600642.241822 649299.010702)
125,601130.4155479999,651305.001562,POINT (601130.4155479999 651305.001562)
214,599990.268186,650129.654307,POINT (599990.2681859999 650129.654307)
90,601130.4155479999,651305.001562,POINT (601130.4155479999 651305.001562)
55,601728.8613689999,651210.763921,POINT (601728.8613689999 651210.7639209999)
213,599990.268186,650129.654307,POINT (599990.2681859999 650129.654307)
142,600540.89846,652730.803099,POINT (600540.8984600001 652730.803099)
