t;Person ID;x;y
4;252;600216.834070;649653.335096
4;251;599772.198240;649864.249419
4;250;600739.238871;649376.471531
4;249;600585.428412;652871.037887
4;248;600168.990620;650955.993586
4;247;602153.113220;649270.197155
4;244;599987.832676;651933.067514
4;243;600367.461806;652722.693529
4;240;600131.509695;651430.759772
4;239;600369.836770;650667.403887
4;238;600283.514429;648629.371179
4;237;600447.223996;651149.277552
4;236;600253.496420;652558.818535
4;235;600841.392739;648809.175746
4;233;601514.911596;650068.348954
4;232;600028.886450;648578.742008
4;231;601607.333938;650103.890750
4;229;601162.302202;652195.845655
5;300;599805.702091;650338.318144
5;298;599903.437672;649510.837157
5;295;600373.529431;653390.314852
5;294;601334.504409;650275.520800
5;293;600061.810989;650537.808769
5;290;599952.166551;651893.730302
5;288;600384.426337;650135.919067
5;287;601286.207313;652307.596032
5;286;599951.873486;649442.244267
5;285;600071.110822;649370.684908
5;282;601326.463487;650448.298249
5;281;601772.365239;649602.391517
5;279;600255.040228;649027.918590
5;278;600332.316045;653110.614881
5;277;600615.866617;651821.411652
5;275;601026.924381;649883.108971
5;274;600211.870081;649305.394679
5;272;600195.744990;649919.004013
5;271;600605.151763;653087.509526
5;269;601457.314435;649817.438046
5;267;601159.144747;650051.779337
5;266;601427.567027;650073.855850
5;265;600231.814298;653480.786416
5;264;600242.248698;653415.718555
5;263;600190.108587;648723.725952
5;262;599950.570582;650849.780008
5;261;601331.408864;650941.292025
5;260;600040.579142;650060.831777
5;258;600078.941324;651854.245087
5;256;600242.429502;652408.177728
5;255;601027.839567;652554.729750
5;254;600351.590288;649617.008640
5;252;600091.015093;649791.594036
5;251;599772.198240;649864.249419
5;250;600739.238871;649376.471531
5;249;600681.978047;651827.937916
5;248;600334.499377;651072.379067
5;247;602153.113220;649270.197155
5;244;599987.832676;651933.067514
5;243;600568.943793;652679.743126
5;240;601153.166180;651525.617877
5;239;600414.717716;650476.787531
5;238;600283.514429;648629.371179
5;237;600447.223996;651149.277552
5;236;600114.350250;651670.747030
5;235;600841.392739;648809.175746
5;233;601514.911596;650068.348954
5;232;600028.886450;648578.742008
5;231;601607.333938;650103.890750
5;229;600660.717662;651332.288618
6;300;600681.358548;650617.996401
6;298;599799.318152;649623.683818
6;295;600252.471518;653516.076022
6;294;601334.504409;650275.520800
6;293;600169.099672;650354.502939
6;290;599970.876550;651709.309596
6;288;600384.426337;650135.919067
6;287;601286.207313;652307.596032
6;286;600115.013206;649430.700502
6;285;600158.373802;649574.885325
6;282;601197.974211;650615.120610
6;281;601772.365239;649602.391517
6;279;600255.040228;649027.918590
6;278;601224.249123;652379.393101
6;277;600615.866617;651821.411652
6;275;601026.924381;649883.108971
6;274;600211.870081;649305.394679
6;272;600195.744990;649919.004013
6;271;600642.975085;652900.422450
6;269;600831.599683;650572.761229
6;267;600410.273702;650778.988449
6;266;601427.567027;650073.855850
6;265;600231.814298;653480.786416
6;264;600242.248698;653415.718555
6;263;600190.108587;648723.725952
6;262;599950.570582;650849.780008
6;261;601220.059211;649876.947860
6;260;599920.772057;650185.722398
6;258;600078.941324;651854.245087
6;256;600141.005250;652560.792839
6;255;601027.839567;652554.729750
6;254;600216.568173;649750.895768
6;252;600091.015093;649791.594036
6;251;599936.569158;649812.937369
6;250;600739.238871;649376.471531
6;249;600681.978047;651827.937916
6;248;600454.957181;650909.810170
6;247;601229.501637;649894.527271
6;244;599987.832676;651933.067514
6;243;600693.397594;652515.575591
6;240;601153.166180;651525.617877
6;239;600377.298506;650284.567092
6;238;600283.514429;648629.371179
6;237;600447.223996;651149.277552
6;236;600269.441725;650785.320981
6;235;600283.066077;649416.898102
6;233;601514.911596;650068.348954
6;232;600028.886450;648578.742008
6;231;601607.333938;650103.890750
6;229;600971.571311;652281.334357
7;300;601594.306428;650510.663608
7;298;599799.318152;649623.683818
7;295;600252.471518;653516.076022
7;294;601334.504409;650275.520800
7;293;600381.495263;650354.538096
7;290;600014.747555;651529.208524
7;288;600384.426337;650135.919067
7;287;600485.134522;653029.287901
7;286;600272.983130;649388.352775
7;285;600315.188005;649417.653192
7;282;601056.522961;650771.103744
7;281;601772.365239;649602.391517
7;279;600255.040228;649027.918590
7;278;601045.137968;651240.029637
7;277;600688.353147;650721.025133
7;275;601026.924381;649883.108971
7;274;600211.870081;649305.394679
7;272;600195.744990;649919.004013
7;271;600827.331002;652850.974763
7;269;600129.089020;651257.239740
7;267;600410.273702;650778.988449
7;266;601427.567027;650073.855850
7;265;600276.596506;653267.234637
7;264;600242.248698;653415.718555
7;263;600190.108587;648723.725952
7;262;600152.506592;650842.363228
7;261;602073.250675;650522.928952
7;260;599810.112981;650318.786193
7;258;600078.941324;651854.245087
7;256;600141.005250;652560.792839
7;255;601027.839567;652554.729750
7;254;600067.034898;649868.354419
7;252;600091.015093;649791.594036
7;251;600055.433906;649937.524274
7;250;600739.238871;649376.471531
7;249;600681.978047;651827.937916
7;248;600655.127177;650939.317821
7;247;600310.147071;650525.109250
7;244;599987.832676;651933.067514
